bookID,título,autores,valoración_promedio,isbn,isbn13,código_idioma, núm_páginas,recuento_calificaciones,recuento_revisiones_texto,fecha_publicación,editor
36,El señor de los anillos: Armas y guerra,Chris Smith/Christopher Lee/Richard Taylor,4.53,0618391002,9780618391004,eng,218,19822,46,11/5/2003,Houghton Mifflin Harcourt
37,El Señor de los Anillos: Compañero visual completo,Jude Fisher,4.50,0618510826,9780618510825,eng,224,359,6,15/11/2004,Houghton Mifflin Harcourt
45,Desarrollo web ágil con Rails: una guía pragmática,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas Fuchs/Andreas Schwarz,3.84,097669400X,9780976694007,eng,558,1430,59,7/28/2005 ,Estantería pragmática
50,Hatchet (Brian's Saga #1),Gary Paulsen,3.72,0689840926,9780689840920,eng,208,270244,12017,4/1/2000,Atheneum Books for Young Readers: Richard Jackson Books
"51,Hatchet: una guía para usar ""Hatchet"" en el aula,Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.00,1557344493,9781557344496,eng,48,36,2,8/28/1994,Recursos creados por maestros "
53,Guts: Las verdaderas historias detrás de Hatchet y Brian Books,Gary Paulsen,3.88,0385326505,9780385326506,eng,144,2067,334,1/23/2001,Delacorte Press
54,Molly Hatchet - 5 de los mejores,Molly Hatchet,4.33,1575606240,9781575606248,eng,56,6,0,6/10/2003,Cherry Lane Music Company
55,Hatchet Jobs: Escritos sobre ficción contemporánea,Dale Peck,3.45,1595580271,9781595580276,en-US,228,99,16,11/1/2005,The New Press
57, Un cambiante para todas las estaciones (Changeling Seasons n.° 1), Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808,9781595962805,eng,304,167 ,4,11/1/2005, Prensa cambiante
58, Changeling (Changeling #1), Delia Sherman, 3.60,0670059676,9780670059676,eng,256,978,111,8/17/2006,Viking Juvenil
59,El mar cambiante,Patricia A. McKillip,4.06,0141312629,9780141312620,eng,137,4454,302,4/14/2003,Firebird
61,El Cambiante,Zilpha Keatley Snyder,4.17,0595321801,9780595321803,eng,228,1176,96,6/8/2004,iUniverse
63,El Cambiante,Kate Horsley,3.55,1590301943,9781590301944,eng,339,301,43,4/12/2005,Shambhala
66, The Changeling (Hijas de Inglaterra #15), Philippa Carr, 3.98, 0449146979, 9780449146972, ing, 369, 345, 12, 28/8/1990, Ivy Books
67,El mundo conocido,Edward P. Jones,3.83,0061159174,9780061159176,eng,388,29686,2626,29/8/2006,Amistad
68,El mundo conocido,Edward P. Jones/Kevin R. Free,3.83,006076273X,9780060762735,en-US,14,55,12,6/15/2004,HarperAudio
69,El mundo conocido,Edward P. Jones,3.83,0060749911,9780060749910,eng,576,22,3,6/15/2004,Harper
71,Traders Guns & Money: Conocidos y desconocidos en el deslumbrante mundo de los derivados,Satyajit Das,3.83,0273704745,9780273704744,eng,334,1456,82,5/15/2006,FT Press
72,Artesia: aventuras en el mundo conocido,Mark Smylie,4.13,1932386106,9781932386103,eng,352,52,4,12/14/2005,Archaia
74,The John McPhee Reader (John McPhee Reader #1),John McPhee/William Howarth,4.42,0374517193,9780374517199,eng,416,562,37,6/1/1982,Farrar Straus and Giroux
75,Uncommon Carriers,John McPhee,3.95,0374280398,9780374280390,en-US,248,1630,203,5/16/2006,Farrar Straus Giroux
76, Herederos de práctica general, John McPhee, 4.17, 0374519749, 9780374519742, ing, 128, 268, 22, 4/1/1986, Farrar Straus y Giroux
77,El control de la naturaleza,John McPhee,4.24,0374522596,9780374522599,en-US,288,3498,305,9/1/1990,Farrar Straus and Giroux
78,Annals of the Former World,John McPhee,4.34,0374518734,9780374518738,eng,720,3115,228,1/6/1999,Farrar Straus and Giroux
79,Llegando al país,John McPhee,4.22,0374522871,9780374522872,eng,448,5704,261,4/1/1991,Farrar Straus y Giroux
80,La Place de la Concorde Suisse,John McPhee,3.92,0374519323,9780374519322,fre,160,698,52,4/1/1994,Farrar Straus and Giroux
81,Dar buen peso,John McPhee,4.23,0374516006,9780374516000,eng,288,542,36,4/1/1994,Farrar Straus and Giroux
83,Rising from the Plains,John McPhee,4.23,0374520658,9780374520656,eng,208,1341,98,11/1/1987,Farrar Straus and Giroux
85,Las crónicas de Heidi,Wendy Wasserstein,3.75,0822205106,9780822205104,eng,81,1423,70,3/1/2002,Dramatists Play Service
86,Las crónicas de Heidi: mujeres poco comunes y otras, ¿no es romántico?,Wendy Wasserstein,3.84,0679734996,9780679734994,eng,249,2766,64,7/2/1991,Vintage
89,Alfabetización activa en todo el plan de estudios: estrategias para leer, escribir, hablar y escuchar,Heidi Hayes Jacobs,3.94,1596670231,9781596670235,eng,138,31,1,3/29/2006,Routledge
90,Simplemente hermosas joyas con cuentas,Heidi Boyd,3.77,1581807740,9781581807745,en-US,128,62,4,3/14/2006,North Light Books
91,Siempre suficiente: la provisión milagrosa de Dios entre los niños más pobres de la tierra,Heidi Baker/Rolland Baker,4.46,0800793617,9780800793616,eng,192,860,53,9/1/2003, Chosen Books
92,Mapeo del panorama general: Integración del currículo y la evaluación K-12,Heidi Hayes Jacobs,3.68,0871202867,9780871202864,en-US,108,77,2,1/28/1997,Association for Supervision & Curriculum Development;
93,Heidi (Heidi #1-2),Johanna Spyri/Beverly Cleary/Angelo Rinaldi,3.99,0753454947,9780753454947,eng,352,153317,2257,15/11/2002,Kingfisher
94,Obtención de resultados con el mapeo curricular,Heidi Hayes Jacobs,3.25,0871209993,9780871209993,eng,192,55,5,15/11/2004,ASCD
96,Siempre hay suficiente: El mover milagroso de Dios en Mozambique,Rolland Baker/Heidi Baker,4.46,1852402873,9781852402877,eng,192,34,6,4/28/2003,Sovereign World
98,Qué esperar el primer año (Qué esperar),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,0761129588,9780761129585,eng,832,11797,659,10/16/2003 ,Empresa editorial Workman
99,Manual del jugador: La guía definitiva sobre citas y relaciones,Heidi Fleiss/Libby Keatinge,3.82,0972016414,9780972016414,eng,123,34,8,5/10/2004,One Hour Entertainment
100,Abalorios simplemente hermosos: 53 proyectos rápidos y sencillos,Heidi Boyd,3.78,1581805632,9781581805635,en-US,128,78,4,8/19/2004,North Light Books
103,Dios Emperador de Dune (Dune Chronicles #4),Frank Herbert,3.84,0441294677,9780441294671,eng,423,2785,166,15/6/1987, Ace Books
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,0441102670,9780441102679,eng,436,38778,568,7/1/1987,Ace Books
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,0441172695,9780441172696,eng,331,97494,2359,7/15/1987,Ace Books
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,0765306476,9780765306470,en-US,592,784,21,7/1/2004,Tor Books;
109,Herejes de Dune (Dune Chronicles #5),Frank Herbert,3.86,0399128980,9780399128981,eng,480,272,20,4/16/1984,Putnam
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,0765353709,9780765353702,eng,426,4789,83,8/29/2006,Tor Science Fiction
117, Herejes de Dune (Dune Chronicles #5), Frank Herbert, 3.86, 0441328008, 9780441328000, ing, 471, 45388, 644, 15/8/1987, Ace Books
119,El Señor de los Anillos: El Arte de la Comunidad del Anillo,Gary Russell,4.59,0618212906,9780618212903,eng,192,26153,102,6/12/2002,Houghton Mifflin Harcourt
122,El poder de uno (El poder de uno #1),Bryce Courtenay,4.35,034541005X,9780345410054,eng,544,69167,4551,9/29/1996, Ballantine Books
123,El poder de uno (El poder de uno #1),Bryce Courtenay,4.35,0385732546,9780385732543,eng,291,45,13,9/13/2005,Delacorte Books for Young Readers
129,El poder de uno: Una persona, una regla, un mes,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,0785260056,9780785260059,en-US,256,16,1,11/1/2004 ,Tomás Nelson
130,El poder de una hora: Dominio de los negocios y la vida en una hora a la semana,Dave Lakhani,3.34,0471780936,9780471780939,eng,205,174,16,5/19/2006,Wiley
131,El poder de uno: la obra en solitario para dramaturgos, actores y directores,Louis E. Catron,3.67,0325001537,9780325001531,eng,240,10,0,2/7/2000,Heinemann Drama
132,Cómo comprar, vender y obtener ganancias en eBay: ponga en marcha su negocio desde casa en solo treinta días,Adam Ginsberg,3.48,006076287X,9780060762872,eng,336,76,9,5/3/2005,William Morrow Paperbacks 
133,eBay for Dummies,Marsha Collier,3.50,0470045299,9780470045299,eng,386,111,9,30/10/2006,Wiley
135,Qué vender en eBay y dónde conseguirlo: la guía definitiva para el abastecimiento de productos para eBay y más allá,Chris Malta/Lisa Suttora,3.62,0072262788,9780072262780,eng,260,24,0,24/1/2006, McGraw-Hill
137,Cómo iniciar un negocio en eBay para principiantes,Marsha Collier,3.55,0764569244,9780764569241,eng,384,55,4,9/17/2004,Wiley
138,eBay: Los 100 mejores consejos y trucos simplificados,Julia Wilkinson,4.27,0471933821,9780471933823,eng,260,9,0,6/6/2006,Wiley
139,Técnicas de ahorro de tiempo de eBay para tontos,Marsha Collier,3.39,0764559915,9780764559914,en-US,391,22,1,5/31/2004,Wiley
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,0764584383,9780764584381,en-US,864,17,3,4/25/2005,Wiley
141, Ruby Cookbook, Lucas Carlson/Leonard Richardson, 3.84, 0596523696, 9780596523695, ing, 873, 166, 4, 29/7/2006, O'Reilly Media;
142,Recetario de Ruby Ann's Down Home Trailer Park,Ruby Ann Boxcar,4.12,0806523492,9780806523491,eng,240,50,5,5/3/2005,Citadel
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,0806525363,9780806525365,eng,206,13,2,5/3/2005,Citadel
147,Rails Cookbook: Recetas para un desarrollo web rápido con Ruby,Rob Orsini,3.48,0596527314,9780596527310,eng,514,64,1,1/1/2007,O'Reilly Media
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,0143035002,9780143035008,eng,838,16643,1851,5/31/2004,Penguin Classics
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,0451528611,9780451528612,eng,960,109420,5696,11/5/2002,Signet
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,0140449175,9780140449174,eng,837,2904,309,1/30/2003,Penguin Books
154,CliffsNotes sobre Anna Karenina de Tolstoy,Marianne Sturman/Leo Tolstoy,3.85,0822001837,9780822001836,eng,80,16,3,26/11/1965,Cliffs Notes
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,1593080271,9781593080273,eng,803,9564,726,7/1/2003,Barnes & Noble Classics
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,0486437965,9780486437965,eng,752,474,72,11/23/2004,Dover Publications
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,1593081774,9781593081775,eng,803,303,48,26/8/2004,Barnes & Noble;
159,Cena con Anna Karenina,Gloria Goldreich,2.99,0778322270,9780778322276,eng,360,411,65,28/1/2006,Mira Books
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,0521313252,9780521313254,eng,128,1204,33,11/26/1987,Cambridge University Press
162,Intocable,Mulk Raj Anand/EM Forster,3.71,0140183957,9780140183955,eng,160,3429,279,7/3/1990,Penguin Books
163,El intocable,John Banville,3.95,0679767479,9780679767473,eng,367,2163,216,30/6/1998,Vintage
164,Los intocables,Eliot Ness/Oscar Fraley,3.89,1568491980,9781568491981,eng,256,613,31,2/1/1996,Buccaneer Books
165,Intocables: El viaje triunfal de mi familia fuera del sistema de castas en la India moderna,Narendra Jadhav,3.82,0743270797,9780743270793,en-US,320,308,40,9/27/2005,Scribner
166,Dalit: Los negros intocables de la India,VT Rajshekar/YN Kly,4.20,0932863051,9780932863058,eng,100,10,0,1/28/1995,Clarity Press
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,0742508803,9780742508804,eng,224,16,4,12/20/2000,Rowman & Littlefield Publishers;
171, Libro de habilidades de trabajo social basado en la evidencia, Barry R. Cournoyer, 3.40, 0205358624, 9780205358625, spa, 216, 10, 0, 22/9/2003, Pearson;
"177,Una arruga en el tiempo: una guía para usar ""Una arruga en el tiempo"" en el aula,John Carratello/Patty Carratello/Theresa Wright,4.00,1557344035,9781557344038,eng,48,17,0,9/28 /1991,Recursos creados por maestros"
180,Arrugas en el tiempo,George Smoot/Keay Davidson,4.01,0380720442,9780380720446,eng,360,1035,23,10/1/1994,Harper Perennial
181,Una arruga en el tiempo: con lecturas relacionadas (Una arruga en el tiempo Quinteto #1),Madeleine L'Engle,4.00,0821925326,9780821925324,eng,250,36,6,5/1/2002,EMC/Paradigm Publishing; ;
182,Guía del círculo literario: Una arruga en el tiempo,Tara MacCarthy,3.60,043927169X,9780439271691,eng,32,15,0,1/1/2002,Recursos didácticos
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.00,0606105263,9780606105262,spa,205,6,1,6/1/1984,Turtleback Books
204,La larga sombra (La dinastía Morland #6),Cynthia Harrod-Eagles,4.12,0751506435,9780751506433,eng,367,376,17,6/1/1994,Little Brown Book Group
205,Una larga sombra (Inspector Ian Rutledge #8),Charles Todd,4.11,006078671X,9780060786717,eng,352,3086,237,1/3/2006,William Morrow
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,0743499344,9780743499347,en-US,320,352,44,1/11/2005,Atria Books
208,A Shadow in Summer (Long Price Quartet #1),Daniel Abraham,3.60,0765313405,9780765313409,eng,331,9852,633,3/7/2006,Tor Books
213,Nueva esperanza para los muertos (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.90,1400032490,9781400032495,eng,244,821,78,8/10/2004,Vintage Crime/Black Lizard
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,1400032482,9781400032488,eng,215,731,72,3/8/2005,Vintage Crime/Black Lizard
216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,1400032466,9781400032464,eng,191,2897,178,8/10/2004,Vintage Crime/Black Lizard
230,La herejía de la naranja quemada (Vintage Crime/Black Lizard),Charles Willeford,3.89,0679732527,9780679732525,eng,144,98,11,10/3/1990,Vintage
231,Soy Charlotte Simmons,Tom Wolfe,3.42,0312424442,9780312424442,eng,738,20888,1688,8/30/2005,Picador USA
237,Poesía para jóvenes: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,0806930772,9780806930770,eng,48,66,19,10/1/2001,Sterling
244,El libro de frailecillos de versos sin sentido,Quentin Blake,4.02,0140366601,9780140366600,eng,287,81,6,10/3/1996,Puffin
245,Henry Miller sobre la escritura,Henry Miller/Thomas H. Moore,4.22,0811201120,9780811201124,eng,217,981,52,2/1/1964, New Directions Publishing
247,Días tranquilos en Clichy,Henry Miller,3.69,080213016X,9780802130167,eng,154,3381,141,13/1/1994,Grove Press
249,Trópico de Cáncer,Henry Miller/Jiří Níl,3.68,0802131786,9780802131782,eng,318,53206,2376,1/6/1994,Grove Press
250,Trópico de Capricornio,Henry Miller,3.78,0802151825,9780802151827,eng,348,14872,459,13/1/1994,Grove Press
251,Nexus (The Rosy Crucifixion #3),Henry Miller,4.10,0802151787,9780802151780,eng,316,3261,58,13/1/1994, Grove Press
252, Sexus (La crucifixión rosada #1), Henry Miller, 3.98, 0802151809, 9780802151803, ing, 506, 7805, 251, 1/12/1994, Grove Press
253,La pesadilla del aire acondicionado,Henry Miller,3.83,0811201066,9780811201063,eng,292,2699,142,17/1/1970,Nuevas direcciones
264,El retrato de una dama,Henry James/Patricia Crick,3.78,0141439637,9780141439631,eng,797,61640,1951,30/9/2003,Penguin Classics
269,El retrato de una dama,Henry James/Gabriel Brownstein/Mary Cregan,3.78,1593080964,9781593080969,eng,635,392,41,1/16/2004,Barnes Noble Classics
277,Escritura,Marguerite Duras,3.75,1571290532,9781571290533,eng,91,778,44,5/6/1999,Brookline Books
278,La guerra,Marguerite Duras/Barbara Bray,3.85,1565842219,9781565842212,eng,192,963,65,8/1/1994,The New Press
280,El deslumbramiento de Lol Stein,Marguerite Duras/Richard Seever,3.66,0394743040,9780394743042,en-US,181,2057,128,3/12/1986,Pantheon
285,Cartas de amor,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,1851681825,9781851681822,eng,178,203,8,7/1/1999,One World (Reino Unido)
288,Kahlil Gibran: Su vida y mundo,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,156656249X,9781566562492,eng,464,35,2,4/1/1998,Interlink Publishing Group
289,El Amado: Reflexiones sobre el camino del corazón,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,014019553X,9780140195538,eng,102,328,16,1/1/1998,Penguin Books
290,Jesús el Hijo del Hombre,Kahlil Gibran/جبران خليل جبران,3.98,0394431243,9780394431246,eng,216,1308,82,2/21/1995,Knopf
291,Las alas rotas,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,0806501901,9780806501901,eng,132,6432,517,3/3/2003,Citadel
292, arena y espuma, Kahlil Gibran/جبران خليل جبران,4.08,067943920X,9780679439202,eng,100,3015,217,6/14/2011,Knopf
295,Treasure Island,Robert Louis Stevenson,3.83,0753453800,9780753453803,eng,311,318753,6734,9/15/2001,Kingfisher
296,Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,1402714572,9781402714573,en-US,213,420,42,10/1/2004,Sterling Children's Books
297,La isla del tesoro,Robert Louis Stevenson,3.83,1416500294,9781416500292,eng,245,5967,276,6/1/2005,Simon & Schuster;
298,La isla del tesoro,Robert Louis Stevenson/NC Wyeth/Timothy Meis,3.83,0689854684,9780689854682,eng,64,104,14,7/1/2003,Atheneum Books for Young Readers
299,La isla del tesoro,Robert Louis Stevenson/Milo Winter,3.83,0517221144,9780517221143,en-US,272,56,4,9/3/2002,Gramercy Books
302,La isla del tesoro (Grandes clásicos ilustrados),Deidre S. Laiken/AJ McAllister/Robert Louis Stevenson,4.05,1577658051,9781577658054,eng,232,91,16,31/1/2006,Abdo Publishing Company
313.100 años de linchamientos,Ralph Ginzburg,4.61,0933121180,9780933121188,eng,270,88,4,11/22/1996,Black Classic Press
324,Cien años de soledad,Gabriel García Márquez,4.07,0785950109,9780785950103,spa,448,63,7,1/1/1990,Francés y europeo;
330,¡Más allá de Zebra!,Dr. Seuss,4.04,0394800842,9780394800844,eng,64,2815,164,9/12/1955,Random House Books para lectores jóvenes
332,La cláusula matrimonial,Debbie Raleigh,3.60,0821778250,9780821778258,eng,256,95,13,6/7/2005,Zebra
333,The Zebra Wall,Kevin Henkes,3.44,0060733039,9780060733032,eng,147,217,24,2/15/2005,Greenwillow Books
337,El perfume: Historia de un asesino,Patrick Süskind,4.02,8432216062,9788432216060,spa,239,4136,255,6/1/2002,Booket
348,La puerta al verano,Robert A. Heinlein,4.01,0345413997,9780345413994,eng,304,17232,649,6/17/1997,Del Rey
350, Extraño en tierra extraña, Robert A. Heinlein, 3.92, 0441788386, 9780441788385, ing, 528, 251872, 6241, 1/10/1991, Ace
354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,0441748600,9780441748600,en-US,434,10293,193,6/1/1988,Ace Books
355,Job: A Comedy of Justice,Robert A. Heinlein,3.78,0345316509,9780345316509,en-US,439,15970,438,10/12/1985,Del Rey;
356,Time for the Stars (Heinlein's Juveniles #10),Robert A. Heinlein,3.97,0765314932,9780765314932,eng,256,6898,200,8/8/2006,Tor Books;
357,La larga y oscura hora del té del alma (Dirk Gently #2),Douglas Adams,4.06,0671742515,9780671742515,en-US,307,67803,1401,2/15/1991,Pocket Books
359,El salmón de la duda (Dirk Gently #3),Douglas Adams,3.93,0345455290,9780345455291,eng,298,22091,746,4/26/2005,Del Rey
362,Ojalá estuvieras aquí: la biografía oficial de Douglas Adams,Nick Webb,4.14,0345476514,9780345476517,eng,368,2623,49,27/12/2005,Del Rey;
367, Starship Titanic de Douglas Adams, Terry Jones, 3.60, 0345368436, 9780345368430, ing, 256, 885, 84, 27/10/1998, Ballantine Books;
377,Salmon of Doubt: Haciendo autostop por la galaxia por última vez,Douglas Adams/Christopher Cerf,3.93,1417622857,9781417622856,eng,336,5,0,7/1/2003,Turtleback Books
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,0573650969,9780573650963,eng,72,100,13,1/12/2011,Samuel French Inc.
385,On Bullshit,Harry G. Frankfurt,3.57,0691122946,9780691122946,eng,67,9358,995,1/30/2005,Princeton University Press
386,Otra noche de mierda en Suck City,Nick Flynn,3.78,0393329402,9780393329407,eng,347,9318,907,9/12/2005,WW Norton & Company
394,Lincoln en Gettysburg: Las palabras que rehicieron Estados Unidos,Garry Wills,4.14,0671867423,9780671867423,en-US,317,120,15,6/12/1993,Simon & Schuster
397, Discurso de Gettysburg, Abraham Lincoln/Michael McCurdy, 4.53, 0395883970, 9780395883976, ing, 32, 5239, 76, 2/2/1998, HMH Books for Young Readers;
399,Underworld,Don DeLillo,3.92,0684848155,9780684848150,eng,827,1505,175,7/9/1998,Scribner
400,Libra,Don DeLillo,3.99,0140156046,9780140156041,eng,480,11857,564,5/1/1991,Pingüino
403,Americana,Don DeLillo,3.43,0140119485,9780140119480,eng,377,393,55,7/6/1989,Penguin Books
404, Perro corriendo, Don DeLillo, 3.43, 0679722947, 9780679722946, ing, 256, 1356, 72, 17/7/1989, Contemporáneos antiguos
406,Cosmópolis,Don DeLillo,3.22,0743244257,9780743244251,eng,224,460,41,4/6/2004, Scribner
407,Great Jones Street,Don DeLillo,3.48,0140179178,9780140179170,eng,272,2492,145,1/1/1994,Penguin Books
408,Los nombres,Don DeLillo,3.64,0679722955,9780679722953,eng,339,3100,212,7/17/1989,Vintage
409,Against the Day,Thomas Pynchon,4.13,159420120X,9781594201202,eng,1085,5296,587,11/21/2006,Penguin Press
410,V.,Thomas Pynchon,3.96,0060930217,9780060930219,eng,547,1415,177,7/5/2005,Harper Perennial Modern Classics
411,El llanto del lote 49,Thomas Pynchon,3.69,0060931671,9780060931674,eng,152,2161,230,4/1/1999,Harper Perennial
412,Gravity's Rainbow,Thomas Pynchon,4.01,0140283382,9780140283389,eng,784,762,213,1/1/2000,Penguin Books
413, Mason & Dixon, Thomas Pynchon/Christophe Claro/Brice Matthieussent, 4.07, 0312423209, 9780312423209, ing, 773, 8086, 602, 1/3/2004, Picador EE. UU.;
414,Vineland,Thomas Pynchon,3.69,0141180633,9780141180632,en-US,385,702,69,9/1/1997,Penguin Classics
415,Gravity's Rainbow,Thomas Pynchon,4.01,0143039946,9780143039945,eng,776,29764,2164,10/31/2006,Penguin Books
416, Aprendizaje lento: primeras historias, Thomas Pynchon, 3.50, 0316724432, 9780316724432, ing, 193, 334, 34, 30/4/1985, Back Bay Books
418,Hace tanto tiempo que me parece que depende de mí,Richard Fariña/Thomas Pynchon,3.80,0140189300,9780140189308,eng,352,2473,220,8/29/1996,Penguin Classics
420,El año del pensamiento mágico,Joan Didion,3.89,140004314X,9781400043149,en-US,227,2656,336,10/4/2005,Knopf Publishing Group
421,El álbum blanco,Joan Didion,4.17,0374522219,9780374522216,eng,222,11889,738,10/1/1990,Farrar Straus Giroux
422,Un libro de oración común,Joan Didion,3.80,0679754865,9780679754862,eng,272,2962,255,4/11/1995,Vintage International
